val_loss,val_accuracy,val_auroc,val_precision,val_recall,epoch,step,train_loss,train_auroc
3.528054714202881,0.75,0.5,0.0,0.0,0,17,,
,,,,,0,17,3.528054714202881,0.5
1.2441620826721191,0.75,0.5,0.0,0.0,1,35,,
,,,,,1,35,1.2441620826721191,0.5
0.8241632580757141,0.75,0.5,0.0,0.0,2,53,,
,,,,,2,53,0.8241632580757141,0.5
1.3291826248168945,0.75,0.5,0.0,0.0,3,71,,
,,,,,3,71,1.3291826248168945,0.5
0.6104321479797363,0.75,0.5,0.0,0.0,4,89,,
,,,,,4,89,0.6104321479797363,0.5
0.7536643147468567,0.75,0.5,0.0,0.0,5,107,,
,,,,,5,107,0.7536643147468567,0.5
0.5579916834831238,0.75,0.5,0.0,0.0,6,125,,
,,,,,6,125,0.5579916834831238,0.5
0.6965140700340271,0.75,0.5,0.0,0.0,7,143,,
,,,,,7,143,0.6965140700340271,0.5
