val_loss,val_accuracy,val_auroc,val_precision,val_recall,epoch,step,train_loss,train_auroc,test_accuracy,test_auroc,test_precision,test_recall
0.49774160981178284,0.25,0.5,0.25,1.0,0,8,,,,,,
,,,,,0,8,0.5236926078796387,0.5110328197479248,,,,
0.4398461878299713,0.75,0.5,0.0,0.0,1,17,,,,,,
,,,,,1,17,0.4559567868709564,0.497954398393631,,,,
0.3923836350440979,0.75,0.5,0.0,0.0,2,26,,,,,,
,,,,,2,26,0.41240742802619934,0.5,,,,
0.3816320300102234,0.75,0.5,0.0,0.0,3,35,,,,,,
,,,,,3,35,0.38551709055900574,0.5,,,,
0.3735350966453552,0.75,0.5,0.0,0.0,4,44,,,,,,
,,,,,4,44,0.3735477924346924,0.5,,,,
0.36842337250709534,0.75,0.5,0.0,0.0,5,53,,,,,,
,,,,,5,53,0.3647262454032898,0.5,,,,
0.36699557304382324,0.75,0.5,0.0,0.0,6,62,,,,,,
,,,,,6,62,0.36287346482276917,0.5,,,,
0.36496028304100037,0.75,0.5,0.0,0.0,7,71,,,,,,
,,,,,7,71,0.3618312478065491,0.5,,,,
0.36624160408973694,0.75,0.5,0.0,0.0,8,80,,,,,,
,,,,,8,80,0.3571968376636505,0.5,,,,
0.3660552203655243,0.75,0.5,0.0,0.0,9,89,,,,,,
,,,,,9,89,0.35554972290992737,0.5,,,,
0.3656856119632721,0.75,0.5,0.0,0.0,10,98,,,,,,
,,,,,10,98,0.3539949357509613,0.5,,,,
0.36541447043418884,0.75,0.5,0.0,0.0,11,107,,,,,,
,,,,,11,107,0.3536427617073059,0.5,,,,
0.3661167025566101,0.75,0.5,0.0,0.0,12,116,,,,,,
,,,,,12,116,0.34752315282821655,0.5,,,,
0.3685833215713501,0.75,0.5,0.0,0.0,13,125,,,,,,
,,,,,13,125,0.34580349922180176,0.5,,,,
0.36693453788757324,0.75,0.5,0.0,0.0,14,134,,,,,,
,,,,,14,134,0.34001579880714417,0.5,,,,
0.362260639667511,0.75,0.5,0.0,0.0,15,143,,,,,,
,,,,,15,143,0.33709487318992615,0.5142857432365417,,,,
,,,,,16,144,,,0.2531645596027374,0.5,0.2531645596027374,1.0
,,,,,16,144,,,0.746835470199585,0.5,0.0,0.0
,,,,,16,144,,,0.746835470199585,0.5,0.0,0.0
