val_loss,val_accuracy,val_auroc,val_precision,val_recall,epoch,step,train_loss,train_auroc
2.1047229766845703,0.75,0.5,0.0,0.0,0,35,,
,,,,,0,35,2.1047229766845703,0.5
0.41017770767211914,0.75,0.5,0.0,0.0,1,71,,
,,,,,1,71,0.41017770767211914,0.5
0.4685322940349579,0.71875,0.5208333134651184,0.3333333432674408,0.125,2,107,,
,,,,,2,107,0.4685322940349579,0.5208333134651184
0.3659757077693939,0.75,0.5,0.0,0.0,3,143,,
,,,,,3,143,0.3659757077693939,0.5
0.44939184188842773,0.75,0.5,0.0,0.0,4,179,,
,,,,,4,179,0.44939184188842773,0.5
0.3740449845790863,0.75,0.5,0.0,0.0,5,215,,
,,,,,5,215,0.3740449845790863,0.5
0.5060193538665771,0.75,0.5,0.0,0.0,6,251,,
,,,,,6,251,0.5060193538665771,0.5
6.792724609375,0.25,0.5,0.25,1.0,7,287,,
,,,,,7,287,6.792724609375,0.5
0.39201802015304565,0.75,0.5,0.0,0.0,8,323,,
,,,,,8,323,0.39201802015304565,0.5
0.3826880156993866,0.75,0.5,0.0,0.0,9,359,,
,,,,,9,359,0.3826880156993866,0.5
0.3830910325050354,0.75,0.5,0.0,0.0,10,395,,
,,,,,10,395,0.3830910325050354,0.5
1.3165522813796997,0.40625,0.3958333432674408,0.1764705926179886,0.375,11,431,,
,,,,,11,431,1.3165522813796997,0.3958333432674408
0.3918300271034241,0.75,0.5,0.0,0.0,12,467,,
,,,,,12,467,0.3918300271034241,0.5
0.42564132809638977,0.75,0.5,0.0,0.0,13,503,,
,,,,,13,503,0.42564132809638977,0.5
0.8882963061332703,0.75,0.5,0.0,0.0,14,539,,
,,,,,14,539,0.8882963061332703,0.5
0.48974165320396423,0.75,0.5,0.0,0.0,15,575,,
,,,,,15,575,0.48974165320396423,0.5
