val_loss,val_accuracy,val_auroc,val_precision,val_recall,epoch,step,train_loss,test_accuracy,test_auroc,test_precision,test_recall
0.40387359261512756,0.75,0.5,0.0,0.0,0,59,,,,,
,,,,,0,59,0.5735630393028259,,,,
0.3783559799194336,0.75,0.5,0.0,0.0,1,119,,,,,
,,,,,1,119,0.3870035409927368,,,,
0.38559815287590027,0.75,0.5,0.0,0.0,2,179,,,,,
,,,,,2,179,0.37845680117607117,,,,
0.3750497102737427,0.75,0.5,0.0,0.0,3,239,,,,,
,,,,,3,239,0.38151928782463074,,,,
0.37654563784599304,0.75,0.5,0.0,0.0,4,299,,,,,
,,,,,4,299,0.38045990467071533,,,,
0.37695977091789246,0.75,0.5,0.0,0.0,5,359,,,,,
,,,,,5,359,0.38040977716445923,,,,
0.376089870929718,0.75,0.5,0.0,0.0,6,419,,,,,
,,,,,6,419,0.37978658080101013,,,,
0.3749466836452484,0.75,0.5,0.0,0.0,7,479,,,,,
,,,,,7,479,0.3831658661365509,,,,
0.37668341398239136,0.75,0.5,0.0,0.0,8,539,,,,,
,,,,,8,539,0.3794254958629608,,,,
0.3748916983604431,0.75,0.5,0.0,0.0,9,599,,,,,
,,,,,9,599,0.3815252184867859,,,,
0.38807281851768494,0.75,0.5,0.0,0.0,10,659,,,,,
,,,,,10,659,0.38381797075271606,,,,
0.3775685429573059,0.75,0.5,0.0,0.0,11,719,,,,,
,,,,,11,719,0.3794378638267517,,,,
0.37862956523895264,0.75,0.5,0.0,0.0,12,779,,,,,
,,,,,12,779,0.3781485855579376,,,,
0.3771662414073944,0.75,0.5,0.0,0.0,13,839,,,,,
,,,,,13,839,0.3847685158252716,,,,
0.375664085149765,0.75,0.5,0.0,0.0,14,899,,,,,
,,,,,14,899,0.3800208270549774,,,,
0.37526458501815796,0.75,0.5,0.0,0.0,15,959,,,,,
,,,,,15,959,0.37703999876976013,,,,
,,,,,16,960,,0.75,0.5,0.0,0.0
,,,,,16,960,,0.75,0.5,0.0,0.0
,,,,,16,960,,0.75,0.5,0.0,0.0
