val_loss,val_accuracy,val_auroc,val_precision,val_recall,epoch,step,train_loss,train_auroc,test_accuracy,test_auroc,test_precision,test_recall
0.37940463423728943,0.75,0.5,0.0,0.0,0,70,,,,,,
,,,,,0,70,0.3974679112434387,0.5071428418159485,,,,
0.3865719139575958,0.75,0.5,0.0,0.0,1,141,,,,,,
,,,,,1,141,0.3832201361656189,0.5,,,,
0.3704770505428314,0.75,0.5,0.0,0.0,2,212,,,,,,
,,,,,2,212,0.3870648443698883,0.5,,,,
0.361554890871048,0.75,0.5,0.0,0.0,3,283,,,,,,
,,,,,3,283,0.37576067447662354,0.5,,,,
0.3682854473590851,0.75,0.5,0.0,0.0,4,354,,,,,,
,,,,,4,354,0.3673170506954193,0.5,,,,
0.378163605928421,0.75,0.5,0.0,0.0,5,425,,,,,,
,,,,,5,425,0.38047340512275696,0.5,,,,
0.3667628765106201,0.75,0.5,0.0,0.0,6,496,,,,,,
,,,,,6,496,0.379498153924942,0.5,,,,
0.3646814823150635,0.75,0.5,0.0,0.0,7,567,,,,,,
,,,,,7,567,0.37817731499671936,0.5,,,,
0.35746240615844727,0.75,0.5,0.0,0.0,8,638,,,,,,
,,,,,8,638,0.37464067339897156,0.5,,,,
0.35817864537239075,0.75,0.5,0.0,0.0,9,709,,,,,,
,,,,,9,709,0.3708997070789337,0.5,,,,
0.35586684942245483,0.75,0.5,0.0,0.0,10,780,,,,,,
,,,,,10,780,0.3699842095375061,0.5,,,,
0.3554236888885498,0.75,0.5,0.0,0.0,11,851,,,,,,
,,,,,11,851,0.3689083755016327,0.5,,,,
0.3540416359901428,0.75,0.5,0.0,0.0,12,922,,,,,,
,,,,,12,922,0.3683529794216156,0.5,,,,
0.4168541729450226,0.75,0.5,0.0,0.0,13,993,,,,,,
,,,,,13,993,0.36178722977638245,0.5,,,,
0.37544500827789307,0.75,0.5,0.0,0.0,14,1064,,,,,,
,,,,,14,1064,0.3736121654510498,0.5,,,,
0.3620644807815552,0.75,0.5,0.0,0.0,15,1135,,,,,,
,,,,,15,1135,0.37135446071624756,0.5,,,,
,,,,,16,1136,,,0.746835470199585,0.5,0.0,0.0
,,,,,16,1136,,,0.746835470199585,0.5,0.0,0.0
,,,,,16,1136,,,0.746835470199585,0.5,0.0,0.0
